Km,Owner Type,Seats,No Of Cylinder,Max Power Delivered,Max Torque Delivered,Listed Price,Car Age,Usage Type,Car Size,Is Turbo,Is Advanced Engine,City Freq,Brand Category_Commercial,Brand Category_Luxury,Brand Category_Mid,Brand Category_Other,Brand Category_Premium,Brand Category_Ultra_Luxury,Fuel_diesel,Fuel_electric,Fuel_lpg,Fuel_petrol,Car Segment_Other,Car Segment_SUV,Car Segment_Sedan,Transmission_manual,Drive Type_4wd,Drive Type_4x2,Drive Type_awd,Drive Type_fwd,Drive Type_rwd,Gear Type_CVT,Gear Type_Direct,Gear Type_Manual
50000.0,1.0,5,4,61.68,85.0,570000,5,1.0,9.892640625,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,3.0,5,3,58.16,77.0,245000,13,1.0,9.1468585,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10000.0,1.0,5,3,72.0,95.0,720000,4,0.0,9.691844175,0,0,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80000.0,4.0,5,3,38.4,54.0,120000,15,2.0,7.5264825,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,1.0,7,4,91.18,122.0,950000,6,1.0,12.88679925,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50000.0,2.0,5,3,58.16,77.0,440000,7,1.0,9.1468585,0,0,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25000.0,1.0,5,3,55.92,82.1,640000,4,1.0,9.9178425,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18734.0,1.0,5,4,68.05,95.2,725000,5,0.0,10.201632,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5000.0,1.0,4,3,40.36,60.0,500000,4,0.0,7.698283125,0,0,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101232.0,1.0,5,3,58.16,77.0,280000,13,2.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68943.0,2.0,5,3,58.2,77.0,130000,16,1.0,9.0144625,0,0,1214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128312.0,1.0,5,3,58.16,77.0,265000,12,2.0,9.1468585,0,0,940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43264.0,2.0,5,3,58.16,77.0,319430,12,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11568.0,1.0,5,3,58.33,78.0,575000,5,0.0,9.9178425,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63954.0,1.0,5,3,58.16,77.0,300000,13,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120000.0,1.0,5,4,93.7,124.5,190000,13,2.0,9.723575,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23484.0,1.0,5,3,58.33,78.0,580000,5,1.0,9.9178425,0,0,1214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15000.0,1.0,5,4,61.7,85.0,492801,6,0.0,9.892640625,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25000.0,1.0,5,4,70.67,95.0,530000,4,1.0,9.892640625,0,0,260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9955.0,1.0,5,4,70.67,95.0,620000,4,0.0,9.892640625,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130000.0,4.0,5,4,116.3,146.0,301000,14,2.0,11.175813,0,0,309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62386.0,1.0,5,4,61.68,85.0,500000,5,1.0,9.892640625,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83949.0,1.0,5,3,40.3,60.0,300000,8,2.0,7.5382825,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83500.0,1.0,7,4,80.9,110.0,600000,12,2.0,12.181159875,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140000.0,1.0,5,4,61.7,85.0,390000,7,2.0,9.892640625,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79000.0,2.0,5,3,58.16,77.0,275000,14,1.0,9.1468585,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75000.0,1.0,5,4,58.0,84.33,540000,7,1.0,9.263982,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70000.0,1.0,5,3,58.16,77.0,320000,12,1.0,9.1468585,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20000.0,1.0,7,4,80.46,112.0,790000,10,1.0,12.2696982,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71000.0,1.0,5,4,73.0,101.0,350000,13,1.0,9.757125,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72141.0,1.0,5,3,47.3,69.0,250000,10,1.0,7.46136125,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
